OBJECTID	PDIV_ID	Af_used_2017	Af_used_irr_2017	Acres_2017	Af_used_mun_2017	Af_used_stk_2017	long_nad83	lat_nad83	county
9717	25570	158	158	120	0	0	-98.61320634	38.28288836	BT
9718	15889	0	0	0	0	0	-101.0434623	39.8033286	RA
9719	6118	0	0	0	0	0	-97.23279784	38.92560013	DK
9720	75927	0	0	0	0	0	-97.60122666	39.53879746	CD
9721	62167	77	77	120	0	0	-101.0901718	38.08297094	FI
9722	49117	0	0	0	0	0	-101.1951172	37.37609781	SV
9723	50335	0	0	0	0	0	-100.9614043	37.84764379	FI
9724	11896	153.0147215	153.0147215	117	0	0	-98.77027318	38.08319821	SF
9725	8841	0	0	0	0	0	-96.58773161	38.84330308	MR
9726	75801	338	338	287	0	0	-101.2973178	37.08613555	SV
9727	54946	32	32	120	0	0	-100.7495772	38.40706888	SC
9728	50641	0.065796944	0	0	0	0	-99.6967941	38.50448914	NS
9729	66702	50	0	0	0	0	-97.63570741	39.58689767	CD
9730	71196	103	103	125	0	0	-101.2042393	37.73253959	GT
9731	41496	892.7178373	0	0	892.7178373	0	-96.83146673	39.04436803	GE
9732	2791	216.2736956	185.9953783	131	0	0	-97.4328255	37.72825274	SG
9733	34351	0	0	0	0	0	-100.7972759	38.01998209	FI
9734	47669	15.57460312	0	0	15.57460312	0	-95.39957269	39.51654844	AT
9735	37645	179	179	260	0	0	-99.66993242	37.46358184	CA
9736	36496	8.041313361	0	0	0	8.041313361	-97.70244631	38.73336491	SA
9737	16011	0	0	0	0	0	-97.28793859	39.56464845	CY
9738	67764	0	0	0	0	0	-97.28123185	37.41802049	SU
9739	52352	75.67569226	0	0	75.67569226	0	-94.80402042	37.07533389	CK
9740	6639	250	250	300	0	0	-101.989346	37.73131228	ST
9741	34296	495	495	485	0	0	-100.552783	37.3692339	ME
9742	32359	0.041442254	0	0	0	0.041442254	-100.7384056	39.44946429	TH
9743	65584	1.291080893	1.27972601	2	0	0	-97.47289394	37.72396275	SG
9744	69988	225.0052938	225.0052938	255	0	0	-100.713635	37.82823708	FI
9745	16270	236	236	275	0	0	-100.8775589	37.68546005	HS
9746	75882	587	587	370	0	0	-101.6538468	37.47898978	ST
9747	43843	0	0	0	0	0	-97.68540782	37.37980912	SU
9748	39612	0	0	0	0	0	-100.4531324	37.55209029	GY
9749	61179	110	110	125	0	0	-99.31866104	37.97497597	ED
9750	70439	161	161	130	0	0	-98.54901479	38.26491233	BT
9751	9297	0	0	0	0	0	-100.0041696	37.54626122	FO
9752	33289	0	0	0	0	0	-101.0649247	37.58365669	HS
9753	22311	91	91	121	0	0	-101.6746085	39.67290476	CN
