AGRI,Crop,ET,GMD,GW,P,SW,URBAN,YEAR
0.63147086,1.0,248.7,4,4.395423,437.255,5.663419e-05,0.079168156,2004
0.57861537,1.0,177.7,4,62.339325,295.0,0.01331752,0.07290738,2003
0.53824407,1.0,237.2,4,32.738636,457.596,3.2349963e-05,0.046871964,2004
0.2803889,1.0,203.7,4,0.0,395.41,0.0,0.023055097,2004
0.62516373,1.15,215.8,4,69.05298,297.747,0.0030882594,0.05397357,2003
0.70842177,1.2,244.3,4,57.55202,429.915,0.011916354,0.12541673,2004
0.5406479,1.0,167.6,4,36.406025,289.956,0.008719779,0.114081115,2003
0.41373295,1.0,93.1,4,24.629614,202.66,0.0,0.032037504,2002
0.5062314,1.15,247.8,4,13.914509,379.242,0.061171725,0.043797545,2003
0.42328665,1.0,203.1,4,6.913255,297.719,0.14477248,0.054238334,2003
0.5372082,1.15,140.5,4,21.616125,208.178,0.0,0.060637,2002
0.77091235,1.15,273.3,4,171.91257,250.123,0.0088016195,0.09162766,2003
0.5451496,1.2,110.9,4,31.096676,190.993,0.0,0.03781565,2002
0.560534,1.0,178.9,4,0.0,292.344,0.019441875,0.073942155,2003
0.5799629,1.0,160.0,4,19.710155,371.01498,1.7892258e-08,0.019884348,2003
0.43166426,1.0,75.8,4,0.0,266.507,1.8159575e-06,0.06583798,2002
0.42492136,1.0,81.7,4,0.0,257.838,6.953172e-07,0.047707576,2002
0.5525825,1.15,219.1,4,63.96702,365.518,0.0,0.040142868,2004
0.4438446,1.15,253.6,4,39.9828,397.046,0.0,0.018559368,2004
0.58985007,1.15,182.7,4,42.62341,376.169,0.0,0.016094903,2004
0.832503,1.15,151.9,4,102.62824,175.767,0.003154587,0.083202064,2002
0.5830023,1.2,153.1,4,0.0,252.793,0.0,0.0451573,2002
0.70140386,1.15,152.8,4,10.254776,251.466,0.00024765253,0.043167,2003
0.8061033,1.2,128.7,4,132.4942,181.318,0.003092122,0.06665871,2002
0.68390757,1.0,218.7,4,75.406425,475.583,0.010363392,0.13138123,2004
0.6638404,1.15,143.3,4,29.18324,295.218,0.00094384316,0.025607329,2003
0.5288025,1.0,119.5,4,183.59248,229.55301,0.0,0.104680315,2002
0.7359149,1.0,270.9,4,19.762203,418.776,0.000177082,0.120347284,2004
0.5854452,1.15,198.5,4,170.11699,192.62201,0.0,0.04325744,2002
0.6791328,1.0,210.5,4,14.058813,363.42902,7.0570546e-05,0.09528088,2003
0.4438446,1.15,128.7,4,20.286798,207.752,0.0,0.018559368,2002
0.69629747,1.15,210.0,4,29.264988,277.804,0.0013151482,0.03184074,2003
0.62093633,1.2,258.8,4,53.368286,340.412,0.0,0.10505904,2003
0.44851464,1.15,244.6,4,26.061949,329.866,0.10903677,0.07641008,2003
0.522571,1.0,159.7,4,7.6869946,319.208,0.078801975,0.048938815,2003
0.5288025,1.0,188.0,4,175.02878,385.29602,0.0,0.104680315,2004
0.6025204,1.15,166.9,4,58.419746,280.619,0.0,0.017740197,2003
0.6848608,1.0,248.3,4,47.046642,471.117,0.005452023,0.119161025,2004
0.6264421,1.0,115.4,4,24.234306,173.48,0.0,0.014769378,2002
0.74270976,1.0,185.2,4,110.963875,293.186,4.92354e-05,0.08972917,2003
0.522571,1.0,86.9,4,10.01196,213.974,0.078801975,0.048938815,2002
0.62093633,1.2,205.0,4,46.97599,351.834,0.0,0.10505904,2004
0.54915607,1.15,219.6,4,36.596066,295.538,0.05656976,0.04355628,2003
0.57838607,1.15,132.2,4,0.0,345.51898,0.0,0.037260935,2003
0.44419327,1.0,261.3,4,103.6573,389.266,0.12466622,0.066128194,2004
0.66529244,1.15,262.1,4,147.76834,363.973,0.0,0.0054243724,2004
0.65452665,1.2,109.4,4,16.46104,247.752,0.0035084432,0.044935778,2002
0.55405706,1.0,193.3,4,4.2446704,455.34702,1.48294175e-05,0.039948452,2004
0.5782231,1.0,98.6,4,75.64753,200.446,0.0,0.06113342,2002
0.354252,1.15,74.2,4,0.0,173.381,0.0,0.016004642,2002
0.7525366,1.15,230.5,4,58.844807,342.939,4.92354e-05,0.117142454,2003
0.5829691,1.15,84.8,4,19.66564,210.005,4.3667882e-05,0.06254259,2002
0.5618505,1.15,154.9,4,18.582243,296.887,0.01086298,0.09389887,2003
0.6591952,1.0,87.8,4,12.063452,194.24,0.0008597253,0.102993965,2002
0.75097173,1.15,136.0,4,19.269264,224.509,0.00046400502,0.046443116,2002
0.46525165,1.0,190.4,4,37.84099,430.843,0.0,0.04349011,2004
0.552001,1.15,139.2,4,49.53205,248.269,0.0,0.07659391,2002
0.48935598,1.0,179.1,4,0.0,344.591,0.09958926,0.04755821,2003
0.55034834,1.2,275.4,4,230.01666,335.108,0.0,0.060460586,2004
0.5649485,1.15,224.7,4,15.441826,424.628,0.03763381,0.045489255,2004
0.503455,1.2,114.1,4,66.72354,227.331,0.085722536,0.09248089,2002
0.537274,1.15,97.6,4,49.924206,191.807,3.9031466e-08,0.031697445,2002
0.48603448,1.0,280.6,4,13.460164,369.524,1.6473994e-07,0.034829218,2004
0.5532776,1.15,166.5,4,33.823868,359.41498,0.0,0.051816452,2004
0.7705251,1.0,175.6,4,110.67724,280.535,0.00010740566,0.0900693,2003
0.724388,1.15,204.4,4,31.702372,304.447,0.0065254387,0.122901894,2003
0.5593543,1.15,118.8,4,22.442646,213.983,0.0,0.053492326,2002
0.38619715,1.0,82.7,4,4.1593957,187.027,0.19505118,0.032609858,2002
0.662908,1.0,122.5,4,3.2058,182.483,0.0015355025,0.10125987,2002
0.64816284,1.2,128.0,4,0.0,220.829,0.0,0.101348855,2002
0.6823554,1.15,95.9,4,9.6217985,253.55899,5.663419e-05,0.0636334,2002
0.5581912,1.0,219.7,4,22.823095,445.47202,0.06028231,0.08465077,2004
0.807837,1.0,244.5,4,67.89233,362.794,0.0008770928,0.07065845,2004
0.64679563,1.0,212.9,4,0.0,380.543,4.3667882e-05,0.06651015,2004
0.31866786,1.2,79.3,4,26.944666,158.18701,0.0,0.018490298,2002
0.65547687,1.2,184.6,4,124.34864,282.11002,0.0,0.025894128,2003
0.65547687,1.2,235.9,4,145.44734,372.585,0.0,0.025894128,2004
0.7713509,1.2,307.6,4,145.19012,416.495,0.008291104,0.10779412,2004
0.75944394,1.15,208.0,4,129.84082,327.041,5.2279942e-05,0.11858759,2003
0.81601757,1.2,248.2,4,95.40751,440.937,0.0026349328,0.11966902,2004
0.58431274,1.0,184.4,4,72.73314,345.637,0.0,0.08505623,2003
0.5490702,1.0,242.7,4,0.0,436.0,0.051146585,0.04219296,2004
0.5311861,1.15,97.1,4,7.6666226,299.814,0.058143403,0.04281832,2002
0.37058786,1.0,142.4,4,11.742316,272.852,0.0,0.03271409,2003
0.5687245,1.15,179.5,4,0.0,356.78,0.0,0.035739623,2003
0.73582685,1.0,217.3,4,60.629166,354.943,4.4550034e-05,0.10971793,2004
0.5561582,1.15,97.3,4,105.24874,219.553,0.0,0.10639806,2002
0.5597417,1.0,222.3,4,97.4669,338.54602,0.0,0.044544317,2003
0.39430687,1.0,103.8,4,19.243052,180.15,0.16150816,0.048608597,2002
0.5301552,1.2,90.6,4,48.332844,171.614,0.0,0.015253284,2002
0.593727,1.15,161.0,4,11.892615,328.105,0.0,0.055334136,2004
0.73582685,1.0,259.0,4,65.99171,349.394,4.4550034e-05,0.10971793,2003
0.56010705,1.0,229.7,4,13.744333,302.05798,0.0,0.04522313,2003
0.5538426,1.2,188.3,4,83.18587,331.372,0.0,0.08016689,2003
0.78721416,1.0,124.6,4,177.36568,293.017,0.00011404725,0.12490507,2002
0.67464507,1.15,235.9,4,37.47119,348.23798,0.0,0.083764896,2004
0.675838,1.15,134.2,4,70.7713,200.245,0.0,0.01609175,2002
0.46867493,1.0,218.9,4,0.0,371.0,0.115622066,0.06761887,2004
0.38168782,1.0,93.0,4,11.93544,181.068,0.20432718,0.0347766,2002
0.5608507,1.0,226.5,4,0.0,429.499,0.0,0.026073143,2004
0.5830023,1.2,264.1,4,0.0,393.935,0.0,0.0451573,2004
0.55014485,1.15,210.0,4,51.238003,375.562,0.0,0.043464318,2004
0.42328665,1.0,106.4,4,3.4323044,163.328,0.14477248,0.054238334,2002
0.4655793,1.0,154.6,4,0.0,383.591,0.0,0.08063691,2003
0.6989128,1.15,223.2,4,4.924871,337.395,0.0002978568,0.11580438,2003
0.55994177,1.0,182.2,4,51.707336,425.678,0.0,0.027529903,2004
0.8270449,1.2,116.6,4,71.30827,175.504,0.0017312741,0.07691178,2002
0.6265458,1.0,175.2,4,12.515602,353.791,0.0,0.083489336,2003
0.6848608,1.0,187.8,4,41.06479,296.389,0.005452023,0.119161025,2003
0.5444682,1.0,183.1,4,27.091555,390.413,0.0,0.108855456,2004
0.6215841,1.2,178.5,4,126.2289,341.285,0.0,0.012286613,2003
0.48072517,1.15,177.9,4,3.776126,362.979,0.03783123,0.05601959,2003
0.42043525,1.0,207.9,4,0.0,429.648,3.961461e-06,0.063140206,2004
0.5803552,1.0,252.8,4,111.09284,396.6,0.0,0.022677515,2004
0.41114035,1.0,74.8,4,16.983223,269.441,1.2925447e-06,0.051806107,2002
0.5525825,1.15,222.2,4,62.214756,356.37,0.0,0.040142868,2003
0.5561582,1.15,246.0,4,103.73488,356.402,0.0,0.10639806,2004
0.55379134,1.15,151.5,4,18.985683,209.907,0.061422978,0.06651208,2002
0.6804754,1.2,130.0,4,16.098991,327.42,0.0,0.09519735,2003
0.746351,1.0,193.2,4,61.005104,371.851,0.00027426664,0.05217216,2004
0.48603448,1.0,117.7,4,19.578224,231.074,1.6473994e-07,0.034829218,2002
0.6959283,1.0,111.0,4,35.723442,219.40201,0.0,0.10714052,2002
0.56230134,1.0,240.7,4,32.787975,359.831,0.0,0.040803775,2004
0.6457515,1.0,103.5,4,27.363136,204.774,0.0,0.022664795,2002
0.71874684,1.15,118.4,4,73.438065,231.805,0.0,0.099185176,2002
0.41543597,1.0,209.6,4,6.7591596,449.142,0.13458848,0.046976533,2004
0.53300077,1.0,223.8,4,62.43934,358.42902,0.0,0.030080628,2004
0.5649485,1.15,136.3,4,17.316502,220.049,0.03763381,0.045489255,2002
0.55783874,1.0,203.6,4,104.1579,369.027,0.0,0.014292089,2004
0.45579025,1.0,179.4,4,10.94904,438.226,0.1141279,0.043864347,2004
