YEAR,Actual_GW,Pred_GW
2002,0.0,1.15076645e-07
2002,0.0,9.2829156e-05
2002,0.0,0.61827755
2002,0.5102852,0.66024244
2002,0.0,0.45834276
2002,0.0,0.48105818
2002,0.0,0.71895003
2002,0.0,1.7176898
2002,0.0,2.1040006
2002,0.0,0.41854095
2002,0.0,0.0025965988
2002,0.0,2.1906505
2002,0.0,1.4899888
2002,0.0,1.6821417
2002,0.59511507,1.3093814
2002,0.0,0.11977918
2002,0.0,0.9165711
2002,0.0,0.1399958
2002,0.0,0.0
2002,0.0,4.139434
2002,0.0,17.116417
2002,0.0,2.8891904
2002,4.8943725,7.2626266
2002,0.0,0.6015724
2002,0.0,0.09517767
2002,1.6159309,1.2962388
2002,0.0,0.049986005
2002,3.5807557,3.2215455
2002,2.415666,2.382816
2002,0.0,0.0024205095
