ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
257.9,0.0,0.20904543,-13.387167,0.0,0.5148387,402.69,0.37051234,257.9,-12.861089,2012
259.8,0.0,0.2089547,-13.387167,1.5783689,0.55597526,388.84,0.37395662,259.8,-12.861089,2012
268.9,0.0,0.19444644,-13.387167,0.65585977,0.5842106,371.78,0.37091172,268.9,-12.861089,2012
185.9,0.0,0.16882063,-13.776094,2.6722002,0.5979988,371.93,0.36277944,185.9,-12.861089,2012
271.2,0.0,0.13699092,-13.776094,0.0,0.60068196,380.33,0.35120964,271.2,-12.861089,2012
290.8,0.0,0.103922,-13.776094,0.0,0.59778327,394.32,0.33778107,290.8,-12.861089,2012
274.9,0.0,0.07370498,-13.776094,0.0,0.5937973,381.79,0.32373014,274.9,-12.861089,2012
288.8,0.0,0.049090877,-13.776094,0.0,0.5905042,362.7,0.30978283,288.8,-12.861089,2012
284.7,0.0,0.031511255,-13.776094,0.0,0.5873784,380.96,0.2961137,284.7,-12.861089,2012
273.0,0.0,0.021290142,-13.776094,0.0,0.583001,405.76,0.28242376,273.0,-12.861089,2012
257.1,0.0,0.017978115,-13.776094,0.0,0.5759905,470.97,0.2681057,257.1,-12.861089,2012
332.8,0.0,0.020607501,-13.776094,0.0,0.5647741,498.07,0.2524528,332.8,-12.861089,2012
314.9,0.0,0.027720144,-13.776094,0.0,0.5469547,531.06,0.23486724,314.9,-12.861089,2012
345.7,0.0,0.03728306,-13.776094,0.0,0.5195446,542.2,0.21503402,345.7,-12.861089,2012
320.2,0.0,0.046658836,-13.776094,0.0,0.48022458,558.11,0.1930166,320.2,-12.861089,2012
366.1,0.0,0.05310938,-13.776094,0.0,0.428909,568.8,0.16928166,366.1,-12.861089,2012
298.9,0.0,0.019622313,-12.891837,19.867231,0.20932652,349.44,0.014816633,298.9,-12.861089,2012
231.6,0.0,0.031498037,-12.891837,0.0,0.22077146,367.2,0.022279318,231.6,-12.861089,2012
268.0,0.0,0.0480788,-13.387167,0.0,0.23140968,379.89,0.032546863,268.0,-12.861089,2012
281.9,0.0,0.067796156,-13.387167,7.3553286,0.24252526,388.84,0.04627003,281.9,-12.861089,2012
268.5,0.0,0.08761473,-13.387167,0.70855016,0.25587285,402.1,0.0639271,268.5,-12.861089,2012
254.4,0.0,0.103851505,-13.387167,1.4716468,0.27267823,419.58002,0.085945085,254.4,-12.861089,2012
263.7,0.0,0.11343707,-13.387167,0.0,0.29274946,393.63998,0.11249034,263.7,-12.861089,2012
251.6,0.0,0.1152189,-13.387167,0.0,0.3142384,390.88,0.14340085,251.6,-12.861089,2012
271.8,0.0,0.11080498,-13.387167,0.0,0.33415857,415.74,0.1781107,271.8,-12.861089,2012
290.1,0.0,0.10445674,-13.387167,0.0,0.34978187,413.44,0.21566409,290.1,-12.861089,2012
243.4,0.0,0.10206815,-13.387167,0.0,0.36033982,422.64,0.254561,243.4,-12.861089,2012
268.5,0.0,0.10921033,-13.387167,0.0,0.36831293,437.45,0.29304427,268.5,-12.861089,2012
276.8,0.0,0.12883112,-13.387167,0.0,0.37921062,448.75,0.32914135,276.8,-12.861089,2012
298.9,0.0,0.15951435,-13.387167,0.0,0.39919755,430.1,0.36091393,298.9,-12.861089,2012
304.8,0.0,0.1952963,-13.387167,6.0209746,0.4317301,428.19,0.38671738,304.8,-12.861089,2012
278.1,0.0,0.2274412,-13.387167,0.0,0.47497907,427.34,0.40544492,278.1,-12.861089,2012
274.8,0.0,0.24751578,-13.387167,0.0,0.5219959,405.81,0.41669914,274.8,-12.861089,2012
283.8,0.0,0.2502992,-13.387167,5.034039,0.5637553,397.19,0.42084065,283.8,-12.861089,2012
231.8,0.0,0.23517919,-13.387167,9.899114,0.5934526,379.87,0.41889194,231.8,-12.861089,2012
330.5,0.0,0.20566484,-13.776094,0.0,0.60938895,371.0,0.41231263,330.5,-12.861089,2012
244.7,0.0,0.16764355,-13.776094,0.0,0.61494154,373.17,0.40269625,244.7,-12.861089,2012
301.2,0.0,0.12743115,-13.776094,0.0,0.6158466,379.19,0.39146176,301.2,-12.861089,2012
274.8,0.0,0.090417735,-13.776094,0.0,0.6168988,373.35,0.37960893,274.8,-12.861089,2012
251.9,0.0,0.060304362,-13.776094,0.33366558,0.62009966,372.52,0.3675859,251.9,-12.861089,2012
227.3,0.0,0.039022643,-13.776094,0.0,0.6248773,389.94,0.35528615,227.3,-12.861089,2012
313.0,0.0,0.027014708,-13.776094,0.0,0.62940305,406.82,0.34215972,313.0,-12.861089,2012
295.6,0.0,0.023678618,-13.776094,0.0,0.6315975,452.3,0.32740483,295.6,-12.861089,2012
286.4,0.0,0.027697682,-13.776094,0.0,0.6291743,483.3,0.310196,286.4,-12.861089,2012
343.3,0.0,0.037094083,-13.776094,0.0,0.6192794,530.96,0.28990418,343.3,-12.861089,2012
382.3,0.0,0.049170833,-13.776094,0.0,0.5987626,540.67,0.26627925,382.3,-12.861089,2012
362.8,0.0,0.06058191,-13.776094,0.0,0.5651725,551.95,0.23953919,362.8,-12.861089,2012
334.6,0.0,0.068013735,-13.776094,0.0,0.51795846,569.63,0.2103863,334.6,-12.861089,2012
388.4,0.0,0.06920562,-13.776094,0.0,0.45893455,586.71,0.17990087,388.4,-12.861089,2012
223.0,0.0,0.013847548,-12.891837,5.046428,0.24410912,356.88,0.008364154,223.0,-12.861089,2012
248.1,0.0,0.016339872,-12.891837,0.0,0.2538401,361.61,0.013154066,248.1,-12.861089,2012
214.0,0.0,0.023253344,-12.891837,0.0,0.26394483,371.61,0.020074379,214.0,-12.861089,2012
291.2,0.0,0.035734117,-12.891837,0.0,0.27373704,379.17,0.02973993,291.2,-12.861089,2012
270.6,0.0,0.053589355,-13.387167,0.0,0.28325936,386.49,0.042789012,270.6,-12.861089,2012
274.2,0.0,0.074869394,-13.387167,0.0,0.29346985,389.95,0.059883356,274.2,-12.861089,2012
243.4,0.0,0.09599746,-13.387167,0.0,0.30566514,403.26,0.08142376,243.4,-12.861089,2012
263.1,3.0,0.112796284,-13.387167,7.7527204,0.32060224,405.19998,0.1077004,0.0,-12.861089,2012
266.7,0.0,0.12198921,-13.387167,0.0,0.33775914,352.32,0.13866176,266.7,-12.861089,2012
278.4,0.0,0.12261542,-13.387167,0.0,0.35517728,358.76,0.17386818,278.4,-12.861089,2012
314.3,0.0,0.116787106,-13.387167,3.972053,0.36998525,379.9,0.21245132,314.3,-12.861089,2012
258.9,0.0,0.1093512,-13.387167,0.47496614,0.3797156,366.18,0.25318563,258.9,-12.861089,2012
269.9,0.0,0.1066675,-13.387167,0.0,0.38391808,380.65,0.29435363,269.9,-12.861089,2012
261.5,0.0,0.114597805,-13.387167,0.0,0.3853696,417.58002,0.33411872,261.5,-12.861089,2012
317.6,0.0,0.13623697,-13.387167,0.19980192,0.38983068,432.30002,0.3705708,317.6,-12.861089,2012
293.9,0.0,0.1701608,-13.387167,20.608667,0.40367675,439.08,0.401981,293.9,-12.861089,2012
272.7,0.0,0.21012893,-13.387167,44.200783,0.4305766,443.28,0.4270306,272.7,-12.861089,2012
261.8,0.0,0.24674852,-13.387167,11.576955,0.4689508,445.49,0.44500014,261.8,-12.861089,2012
255.6,0.0,0.27550548,-13.387167,20.893257,0.55150944,396.72,0.46030453,255.6,-12.861089,2012
285.7,0.0,0.26021683,-13.387167,40.800335,0.5804854,378.37,0.4594934,285.7,-12.861089,2012
298.9,0.0,0.22830112,-13.776094,40.668785,0.5975684,371.4,0.4549076,298.9,-12.861089,2012
257.7,3.0,0.18631297,-13.776094,9.906416,0.6061789,368.02,0.44799465,0.0,-12.861089,2012
325.5,0.0,0.1415496,-13.776094,12.243911,0.61199725,369.18,0.43990016,325.5,-12.861089,2012
279.6,0.0,0.10034018,-13.776094,13.689198,0.6196968,365.45,0.43127036,279.6,-12.861089,2012
290.5,0.0,0.067052335,-13.776094,0.0,0.631064,378.69998,0.42217338,290.5,-12.861089,2012
307.4,0.0,0.04394556,-13.776094,0.0,0.64513266,389.7,0.4121451,307.4,-12.861089,2012
300.7,0.0,0.031519525,-13.776094,0.0,0.6594829,406.87,0.40033853,300.7,-12.861089,2012
239.6,0.0,0.02902589,-13.776094,0.0,0.6713922,450.0,0.38573974,239.6,-12.861089,2012
334.0,0.0,0.034815855,-13.776094,0.0,0.67819965,477.94,0.36740983,334.0,-12.861089,2012
382.8,0.0,0.04640422,-13.776094,0.0,0.6771699,535.3,0.3447084,382.8,-12.861089,2012
314.1,0.0,0.060475335,-13.776094,0.0,0.6656055,545.14,0.31747904,314.1,-12.861089,2012
404.4,0.0,0.07312228,-13.776094,0.0,0.6412856,548.86,0.28612268,404.4,-12.861089,2012
328.8,0.0,0.0807253,-13.776094,0.0,0.6030628,571.51,0.25160375,328.8,-12.861089,2012
437.3,3.0,0.081096835,-13.776094,0.0,0.55119246,595.31,0.21531199,0.0,-12.861089,2012
217.3,0.0,0.024046913,-12.891837,0.0,0.301754,333.99,0.0043324986,217.3,-12.861089,2012
253.1,0.0,0.02175853,-12.891837,0.0,0.30265182,347.38,0.0071500014,253.1,-12.861089,2012
254.9,0.0,0.019837117,-12.891837,11.92034,0.30493572,368.84,0.011436706,254.9,-12.861089,2012
244.3,0.0,0.020637799,-12.891837,5.4722724,0.3091439,388.67,0.017737884,244.3,-12.861089,2012
236.0,0.0,0.026395017,-12.891837,7.1379676,0.31487966,388.69,0.026686039,236.0,-12.861089,2012
254.7,0.0,0.03848788,-12.891837,5.1998186,0.32163838,405.59,0.038960375,254.7,-12.861089,2012
356.4,0.0,0.05673979,-13.387167,13.93159,0.32944325,417.16,0.05522013,356.4,-12.861089,2012
282.6,0.0,0.07901847,-13.387167,16.653776,0.33890575,391.07,0.076093026,282.6,-12.861089,2012
312.3,0.0,0.101424634,-13.387167,18.288862,0.3506629,388.77,0.10184356,312.3,-12.861089,2012
285.0,0.0,0.11940639,-13.387167,11.037352,0.3646829,382.93,0.13255301,285.0,-12.861089,2012
272.2,0.0,0.12938815,-13.387167,9.516649,0.37980884,334.36,0.1678766,272.2,-12.861089,2012
254.8,0.0,0.13026963,-13.387167,0.0,0.39380354,339.75,0.20702823,254.8,-12.861089,2012
284.0,0.0,0.124171354,-13.387167,10.3484955,0.4039276,362.58,0.24878843,284.0,-12.861089,2012
239.7,0.0,0.11601428,-13.387167,0.0,0.40810832,363.46,0.29164478,239.7,-12.861089,2012
229.9,0.0,0.11222221,-13.387167,0.0,0.40633056,379.39,0.33368888,229.9,-12.861089,2012
309.3,0.0,0.11874652,-13.387167,0.0,0.4016239,417.05,0.37307513,309.3,-12.861089,2012
256.1,0.0,0.13887884,-13.387167,0.0,0.3997424,434.71,0.4080681,256.1,-12.861089,2012
