AGRI_KS,ET_KS,GRACE_Trend_KS,P_KS,SW_KS,URBAN_FLT_KS
0.83878696,3497.0,-230.15942,546.27,0.81603473,0.60846007
0.25590065,1128.0,-467.36386,286.53,0.025895929,0.019206183
0.7844464,1520.0,-351.6481,299.87,0.78536433,0.44473743
0.29274946,1490.0,-614.1719,272.53,0.11249034,0.11343707
0.051324032,1150.0,-515.8428,182.04,0.00027644954,0.05710821
0.60185015,956.0,-237.32727,259.53,5.234385e-06,0.16461259
0.50744677,2179.0,-160.42273,339.07,0.48404366,0.20883985
0.81477195,2214.0,-121.88341,519.88,0.53259504,0.39571008
0.25349635,2074.0,-361.9958,564.047,0.0025262192,0.027251355
0.5261508,2848.0,-156.36523,631.98,0.07308934,0.11401475
0.7481456,2051.0,-397.63855,310.59,0.3328444,0.21264872
0.6928537,919.0,-421.4361,217.57,0.28668988,0.07337945
0.4311583,883.0,-283.8272,223.49,0.0,0.1807469
0.7405128,2551.0,-340.7523,378.33002,0.0,0.09880163
0.574274,3342.0,-358.8145,599.44,0.9220261,0.58037317
0.7117516,2027.0,-416.26797,417.36002,6.9719885e-05,0.02121319
0.6589699,2491.0,-250.47935,407.78,0.0326785,0.1270732
0.70968974,2259.0,-346.44556,530.99097,0.00015069371,0.11309635
0.4960172,2457.0,-197.0005,567.15,0.25960276,0.0878279
0.647046,1596.0,-413.40924,409.08,0.2239651,0.13091642
0.70692915,1203.0,-354.32742,260.96,0.21154863,0.13713157
0.23181196,2968.0,-360.11816,500.71002,0.32617822,0.15487143
0.79766107,1449.0,-430.43643,564.58997,0.77490795,0.46828222
0.20131415,3932.0,-129.42975,710.4,0.6546721,0.081127144
0.8078551,1000.0,-242.7133,291.79,0.01666269,0.15811107
0.16661458,2498.0,-401.34882,427.07,0.002704212,0.09809943
0.342328,525.0,-426.6893,265.76,0.029462505,0.1397368
0.39404875,1873.0,-115.0085,361.81,0.38160273,0.06942277
0.57131463,3352.0,-374.7312,748.296,0.47579238,0.2734443
0.63209563,3089.0,-225.87646,636.65,0.20701644,0.14796148
0.4402644,3364.0,-674.3433,351.86,0.0028503658,0.125511
0.39209417,1932.0,-237.20526,299.61002,0.00020341521,0.098266564
0.39060083,3163.0,-387.64905,413.82,0.3613678,0.27024868
0.5184591,2262.0,-172.57062,391.2,0.16094856,0.14220017
0.5606921,444.0,-340.2625,223.24,0.0,0.1465922
0.31396797,1824.0,-370.42548,412.832,0.038637884,0.15420677
0.700689,1634.0,-303.56976,143.52,8.1301514e-05,0.1580576
0.6290449,718.0,-237.32727,366.54,0.0,0.083031654
0.33903044,429.0,-340.2625,169.42,0.0,0.0076980907
0.80052966,1546.0,-413.40924,318.02002,0.22803496,0.06921624
0.7774406,1439.0,-237.32727,319.97998,0.005284544,0.06416104
0.38106412,1941.0,-405.79517,373.52002,0.104317665,0.0933686
0.6674631,3229.0,-338.02228,559.83997,0.44252303,0.2891774
0.42822242,1524.0,-538.55914,209.27,0.19452675,0.15478204
0.30755514,3280.0,-387.64905,549.89,0.009630596,0.17861192
0.5378574,2045.0,-156.36523,468.77,0.0904259,0.16642599
0.36878416,2197.0,-118.40811,446.04,0.012244339,0.061344173
0.65380377,1611.0,-299.21625,418.63,0.0,0.10328009
0.3663754,862.0,-503.74908,243.21,0.22181758,0.18380791
0.63431495,2859.0,-108.96084,544.71,0.3057952,0.4516199
0.6453119,2312.0,-397.07172,410.06,0.10512031,0.13796502
0.44630325,4334.0,-241.49243,489.65,0.272149,0.13096072
0.16661458,2930.0,-315.14072,644.44,0.002704212,0.09809943
0.5924222,2662.0,-370.13885,609.21204,0.39922976,0.2633898
0.7614506,1788.0,-225.87646,374.74002,0.22141448,0.13572502
0.7952532,3656.0,-186.82289,556.61,0.38884315,0.090553366
0.37320668,1690.0,-335.27618,467.17,0.0,0.1581688
0.7784996,3144.0,-293.1137,555.67,0.39175823,0.31396773
0.4130717,1706.0,-407.03812,365.02,0.31459978,0.07858381
0.663399,1327.0,-440.299,238.87,0.06892592,0.22191037
0.32944325,3264.0,-310.64453,480.93,0.05522013,0.05673979
0.5518036,1909.0,-304.07312,291.19,0.093069226,0.26944345
0.58018047,1069.0,-260.29535,257.24,0.0,0.18061496
0.124010764,1718.0,-347.7622,318.85,0.22875604,0.07276716
0.7152355,2141.0,-397.07172,391.16,0.15608044,0.050507277
0.57813275,3857.0,-176.06418,510.47,0.028458154,0.2949689
0.7223675,1905.0,-131.23068,418.18,0.0023452786,0.1110966
0.7371343,1004.0,-336.70618,234.97,0.18397067,0.08168556
0.828961,1345.0,-242.7133,339.49,0.008271617,0.15865916
0.647046,518.0,-312.72247,165.33,0.2239651,0.13091642
0.38748527,984.0,-269.3217,304.41,0.0,0.17746851
0.3945362,1746.0,-327.37674,334.98,0.030456686,0.029300313
0.7711178,1786.0,-577.86804,281.99,0.3407849,0.35463047
