ET_KS,URBAN_KS,URBAN_FLT_KS,GRACE_KS,GW_KS,AGRI_KS,P_KS,SW_KS,ET_FLT_KS,GRACE_AVG_KS,YEAR
144.3,0.0,0.027720144,1.0,0.0,0.5469547,298.7,0.23486724,144.3,1.0,2012
190.5,0.0,0.03728306,1.0,0.0,0.5195446,314.05,0.21503402,190.5,1.0,2012
169.7,0.0,0.046658836,1.0,0.0,0.48022458,330.05,0.1930166,169.7,1.0,2012
201.4,0.0,0.05310938,1.0,0.0,0.428909,339.49,0.16928166,201.4,1.0,2012
136.9,0.0,0.019622313,1.0,19.867231,0.20932652,211.5,0.014816633,136.9,1.0,2012
108.9,0.0,0.031498037,1.0,0.0,0.22077146,235.17,0.022279318,108.9,1.0,2012
146.7,0.0,0.0480788,1.0,0.0,0.23140968,248.47,0.032546863,146.7,1.0,2012
116.6,0.0,0.067796156,1.0,7.3553286,0.24252526,257.32,0.04627003,116.6,1.0,2012
151.3,0.0,0.08761473,1.0,0.70855016,0.25587285,266.36,0.0639271,151.3,1.0,2012
126.6,0.0,0.103851505,1.0,1.4716468,0.27267823,283.06,0.085945085,126.6,1.0,2012
125.5,0.0,0.11343707,1.0,0.0,0.29274946,273.58,0.11249034,125.5,1.0,2012
150.7,0.0,0.1152189,1.0,0.0,0.3142384,275.94,0.14340085,150.7,1.0,2012
148.8,0.0,0.11080498,1.0,0.0,0.33415857,294.28,0.1781107,148.8,1.0,2012
176.0,0.0,0.10445674,1.0,0.0,0.34978187,283.26,0.21566409,176.0,1.0,2012
135.7,0.0,0.10206815,1.0,0.0,0.36033982,277.22,0.254561,135.7,1.0,2012
156.1,0.0,0.10921033,1.0,0.0,0.36831293,276.34,0.29304427,156.1,1.0,2012
133.4,0.0,0.12883112,1.0,0.0,0.37921062,282.43,0.32914135,133.4,1.0,2012
156.9,0.0,0.15951435,1.0,0.0,0.39919755,266.82,0.36091393,156.9,1.0,2012
