OBJECTID	PDIV_ID	Af_used_2012	Af_used_irr_2012	Acres_2012	Af_used_mun_2012	Af_used_stk_2012	long_nad83	lat_nad83	county						
122	29367	368	368	375	0	0	-101.6301522	37.36644688	MT						
123	33366	342.6228552	342.6228552	141	0	0	-101.0435362	37.96965552	FI						
124	30947	236	236	130	0	0	-100.9932734	38.17458446	FI						
125	42655	189	189	125	0	0	-97.61504149	38.02506124	HV						
126	35214	0	0	0	0	0	-100.8157665	37.50420466	HS						
127	34108	0	0	0	0	0	-101.8061769	37.54510251	ST						
128	45793	145.1264535	145.1264535	95	0	0	-101.4505606	38.49927741	WH						
129	14622	89	89	89	0	0	-100.6750013	38.15087965	FI						
130	6211	0	0	0	0	0	-101.0200685	37.612656	HS						
131	34921	407	407	250	0	0	-101.3212589	37.34639341	SV						
132	27615	0	0	0	0	0	-101.2699723	37.39440947	GT						
133	18762	0	0	0	0	0	-100.6954194	37.56787824	HS						
134	12028	43	43	30	0	0	-98.14865936	37.89571382	RN						
135	5492	0	0	0	0	0	-101.6931006	38.70615773	WA						
136	16747	0	0	120	0	0	-98.90832602	37.76897669	PR						
137	18266	23.33919491	23.33919491	25	0	0	-100.980027	38.67156283	SC						
138	7494	0	0	0	0	0	-98.43240677	37.80483346	RN						
139	32741	0	0	0	0	0	-99.41659896	38.47759183	RH						
140	1674	0	0	0	0	0	-97.37901139	37.83461504	SG						
141	46694	198	198	118	0	0	-100.3188671	37.95005927	GY						
142	43160	53.14023894	53.14023894	130	0	0	-97.09150722	39.85959367	WS						
143	54026	0	0	0	0	0	-101.4034317	38.02516357	KE						
144	35559	73	73	60	0	0	-100.9040467	38.1637125	FI						
145	46175	0	0	0	0	0	-101.8701849	37.66062531	ST						
146	9213	0	0	0	0	0	-101.32033	37.1630628	SV						
147	35919	110.7533811	0	0	0	0	-97.97580842	38.03088955	RN						
148	38620	0	0	0	0	0	-101.7530605	37.4939246	ST						
149	30745	90.94494109	0	0	90.94494109	0	-100.8470133	37.48926112	HS						
150	54965	185.517307	185.517307	125	0	0	-101.8353711	38.71171199	WA						
